"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-2.42204728921834,-3.68135063992068,2.76363228510715,-0.808711891447747,2.53896176980606,-0.34714285714287,0.7087012987013,-0.808711891447747,5.1686,NA,1994-01-01
"21",-4.47260849639133,-5.8104645326263,-0.716256050153447,-0.151206437017335,0.172338896274387,-2.74848484848485,-1.23286278938451,-0.151206437017335,4.6937,0.96939380243514,1994-04-01
"22",-3.93338727831835,-5.32513054141279,-1.54685318247502,1.05173584601171,0.384847668652557,-2.57272727272729,-0.710573122529638,1.05173584601171,4.2332,-0.752000812312116,1994-07-01
"23",-3.17455446069175,-4.58813452304932,-2.0460253536495,0.611173073574541,0.802204965650601,-2.16521739130431,-0.0934782608696025,0.611173073574541,3.8488,-0.396418505365369,1994-10-01
"24",-3.69611544924942,-5.14220081850806,-3.93259001903996,-0.138768362525804,-0.0873228486273303,-3.07933333333332,-0.654461538461533,-0.138768362525804,4.3675,-0.310694912493936,1995-01-01
"25",-4.98978777305467,-6.5056313538737,-6.84412776195629,-0.121267692877021,-1.78870687104158,-4.86523076923075,-1.80882051282055,-0.121267692877021,4.3933,-1.26622370195898,1995-04-01
"26",-3.83391598039015,-5.37635454971672,-7.12811882076971,0.560681200548942,-1.03801748119886,-4.15555555555554,-0.684554334554349,0.560681200548942,4.6649,-2.39461903534789,1995-07-01
"27",-2.58432916403362,-4.10665071829229,-7.10205370773636,0.382482560363876,-0.18526423835113,-3.27645502645504,0.400383141762489,0.382482560363876,4.8153,-1.65447328998286,1995-10-01
"28",-3.52619695416908,-5.0546611908797,-9.42966361025015,-0.393374330625649,-1.54070677379983,-4.66970443349751,-0.582266009852191,-0.393374330625649,5.5116,-1.16566564976573,1996-01-01
"29",-4.52012408103354,-6.08416664544004,-11.9934910573735,-0.140418923938766,-2.9645355901107,-6.21724137931037,-1.52258064516127,-0.140418923938766,5.9373,-2.24969571950512,1996-04-01
