"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",1.71666004342583,2.39428991496651,0.231351984951118,-0.608766826276525,2.44865779269261,1.62857142857143,-1.42337662337663,-0.608766826276525,0.0016092,NA,1994-01-01
"21",1.56269489000715,2.2726689901961,0.66386324548202,0.314786047944342,2.55351706061041,1.604329004329,-1.39830604178431,0.314786047944342,0.001123,-1.00832195590739,1994-04-01
"22",1.72445515082654,2.46488388948991,1.44979153681794,-0.27320165637221,2.9656482965754,1.9098814229249,-1.1153162055336,-0.27320165637221,0.00079494,0.560027641887784,1994-07-01
"23",1.81522680600688,2.58274304497589,2.19047641477253,0.135286613691739,3.29910742794706,2.1586956521739,-0.935217391304334,0.135286613691739,0.0005691,0.670669890932606,1994-10-01
"24",-1.91016775137986,-1.24468290320002,-1.55552919348568,-0.429220929466604,-0.276248692386532,-1.60233333333332,-4.0311153846154,-0.429220929466604,0.00040471,1.27171230963873,1995-01-01
"25",-1.00838330956172,-0.420742990177672,-0.556821934471571,0.281977392990891,0.758262853423294,-0.715076923076936,-2.74157264957265,0.281977392990891,0.00028593,-1.20874597233308,1995-04-01
"26",-0.984416453317607,-0.476582823770556,-0.462659335753159,0.540899258715891,0.858880803468974,-0.72393162393162,-2.40402930402932,0.540899258715891,0.00020314,-0.407218363430571,1995-07-01
"27",-0.383641081034625,0.0633623033921964,0.28875345768175,-0.169736795079136,1.51297623550695,-0.12777777777778,-1.6120415982485,-0.169736795079136,0.00014392,-0.309781654491084,1995-10-01
"28",-0.0546682071008888,0.34308510586709,0.80954451867197,-0.0416275005838505,1.87852503400588,0.215024630541862,-1.15665024630542,-0.0416275005838505,0.0001014,-0.0789253297952629,1996-01-01
"29",0.689215379191381,1.06399035217871,1.8677517192108,-0.13507677525547,2.66514209354324,1.03379310344829,-0.371879866518356,-0.13507677525547,7.2832e-05,0.179463627302086,1996-04-01
