"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
2.3836433017872,2.70150542051346,3.20362495859221,0,4.45000000000002,2.55826923076921,1.21135360265134,0.49499,NA,1989-04-01
3.09025738432533,3.49302614792207,4.16522285844121,1.4210854715202e-14,3.19846153846156,0.924615384615379,0.15100929027975,0.6853,NA,1989-07-01
2.15179324036249,2.61433245352022,3.43406205831057,2.8421709430404e-14,4.17094017094017,1.39590964590964,0.363564345189,0.81947,NA,1989-10-01
2.71313158041872,3.24954325486512,4.26038981996503,4.2632564145606e-14,3.44841269841272,0.365900383141749,0.346534613887653,0.97018,NA,1990-01-01
2.46312934857296,3.0640072297543,4.27239155037346,-4.2632564145606e-14,4.28497536945814,0.796551724137913,0.565902271939614,1.1177,NA,1990-04-01
2.04928255407759,2.69863617487721,4.09839770047336,0.321980361142337,4.30689655172414,0.461401557285882,0.846797230080513,1.1991,NA,1990-07-01
1.43339518720502,2.10748859564417,3.67436705802211,-0.0448790772214664,4.14215053763439,0.0099596774193742,0.429755716862275,1.2092,NA,1990-10-01
2.74748697081735,3.48311881377461,5.31494808799204,0.348817921330806,3.72620967741936,-0.594904692082125,0.219218488923567,1.2976,NA,1991-01-01
1.89817728759843,2.66412124369944,4.72241126254502,2.59018473171467,5.37840909090909,0.647627005347601,1.1802353227963,1.3654,NA,1991-04-01
1.09697723449975,1.86222883727532,4.10006681229106,4.30505095225308,4.79607843137256,-0.214362108479776,1.01046744513519,1.3493,NA,1991-07-01
0.591896504885739,1.33483560011214,3.71722217970787,5.57257473790688,4.18252100840337,-0.991288515406154,0.00950253690501802,1.2811,NA,1991-10-01
0.654519962066786,1.37281985769846,3.90418564764295,3.57744302635044,3.80761904761904,-1.46123552123552,0.0540073388008773,1.2599,NA,1992-01-01
-0.189314375345077,0.473208690311964,3.08117659243362,2.19119736634627,4.00300300300302,-1.37660028449503,0.322774158677379,1.2331,NA,1992-04-01
-0.379977507133418,0.217963734668075,2.87614415682231,3.29850910643484,3.18662873399714,-2.18770106138527,0.0892099568174802,1.1678,NA,1992-07-01
-1.72285349176138,-1.23513411768792,1.33853110679115,7.41778293260028,2.98785425101215,-2.3568825910931,-0.00299755089505466,1.0096,NA,1992-10-01
-0.599530035804577,-0.184925548548193,2.38431152735032,7.99306035274867,1.45294871794871,-3.67789868667921,-0.374791307509027,0.93399,NA,1993-01-01
0.471657858117908,0.850589533035702,3.5065123931015,5.17689060522304,2.5040243902439,-2.55843205574914,0.230514520636068,0.95722,NA,1993-04-01
-0.441200911327172,-0.125195487328511,2.52522750777862,3.41235588222992,3.63449477351915,-1.49738270804633,0.811272642756204,0.93501,NA,1993-07-01
-1.48078470613493,-1.25926589961384,1.26783590585768,1.19573024352152,2.6592469545958,-2.42491694352159,0.0784007875155974,0.81885,NA,1993-10-01
-3.15801089775397,-3.08328884124782,-0.878226489166849,-1.73053874627462,1.40475687103594,-3.49654686398873,-0.251758910090701,0.66115,-3.08670276085839,1994-01-01
-3.22910463812192,-3.29965954436125,-1.4658700587797,-3.8881802220219,-0.74424242424243,-5.245,-0.689612562553923,0.49053,-3.38114859457039,1994-04-01
-4.09310786411069,-4.33196058904588,-3.00495141791302,-2.54624396547393,-1.33671497584541,-5.40798643231577,-0.653953015324792,0.26741,-4.32658666577455,1994-07-01
-4.69232709830669,-5.11254820666463,-4.40891993400635,-4.21360704066873,-2.8854764107308,-6.40172294172064,-0.693571308124051,-0.0040874,-3.71558144237047,1994-10-01
-3.30778383420454,-3.85546729324503,-3.67388913416028,-4.51009727938552,-4.30398936170212,-7.16577290490665,-1.31820969366487,-0.1658,-3.45069557203592,1995-01-01
-3.64593036898128,-4.32243738785047,-4.73844328595709,-2.94986766354367,-3.58197278911564,-5.91385204081632,-0.329352269615157,-0.25292,-3.4229874279714,1995-04-01
-2.87546423114719,-3.6453297262513,-4.60805467492884,-3.74216659842085,-4.66375510204082,-6.40123409363744,-0.146319608582185,-0.34277,-3.39715830651732,1995-07-01
-2.99469839053074,-3.85151561486563,-5.40289127846953,-2.50599340293741,-4.55105882352942,-5.7506968325792,-0.46750276177295,-0.42583,-4.03205027618785,1995-10-01
-3.8225232496433,-4.78378528031536,-7.05080882759628,-2.7145155190637,-5.36734539969834,-5.99272603090583,-0.358109968212961,-0.48572,-4.80409512886532,1996-01-01
-3.75933447306431,-4.81366727952812,-7.82494883690393,-4.66115539095864,-7.04397677793904,-6.98239396871475,-1.29161153902207,-0.56263,-4.73314157414117,1996-04-01
-3.14513227137979,-4.26295701703896,-7.97650359740456,-4.40923887045386,-7.85136268343814,-7.07937869258626,-1.65552777086465,-0.61448,-4.61344595944814,1996-07-01
-3.22336932704656,-4.39813242467633,-8.8474726226149,-3.10052522344122,-8.03851851851852,-6.59016594516592,-0.855392997824795,-0.69837,-4.04753489043123,1996-10-01
-1.69492861319472,-2.86758650297244,-7.88369805013119,-3.27196231770512,-8.95058441558442,-6.79332194121667,-0.923844234264266,-0.70277,-3.05156753694224,1997-01-01
-0.5950317150496,-1.72109731611468,-7.16604945738618,-2.44675005683297,-8.02575187969927,-5.28819678506613,-0.443020546836741,-0.54608,-2.32292124690618,1997-04-01
-0.102148069445889,-1.15859705665707,-6.95552721841287,-1.14942323283881,-7.34561403508772,-4.12474699314035,0.588964461889645,-0.48322,-2.3971210153188,1997-07-01
-0.345386881405602,-1.33553421979616,-7.49510502581606,-0.726466403261867,-7.17329047340738,-3.51569257744009,0.236604980013764,-0.38345,-2.45219895786081,1997-10-01
-0.212344858640989,-1.12914426847433,-7.61608874053343,-0.140278698431587,-7.75542372881355,-3.64201722700753,-0.399432184379958,-0.30236,-2.59857197157465,1998-01-01
-0.101238777342672,-0.939947783031016,-7.71972950073584,-1.39277166914232,-7.92147540983603,-3.36827604442095,-0.690971547374926,-0.19654,-2.79625012164672,1998-04-01
-0.170041464843138,-0.93327663703036,-7.99353052880571,-2.78472062596211,-8.07271285034372,-3.09564100627031,-0.453128634455697,-0.17076,-2.95784556572801,1998-07-01
-0.381133109287788,-1.07746993400806,-8.42590351260867,-2.62135357037701,-8.39769585253458,-2.99785426267283,-0.548766324104577,-0.19524,-3.01001508143705,1998-10-01
-0.621313864028025,-1.26128158510687,-8.91274473544101,-1.09186672772466,-8.88596230158731,-3.05180860805859,-0.784336480020339,-0.21799,-2.70112021745341,1999-01-01
-0.0799374285368799,-0.64882819716945,-8.5162296195881,0.269353012949153,-9.43403846153845,-3.15037368881119,-0.998094716554925,-0.23146,-1.46748888209487,1999-04-01
2.19336946097744,1.76744334841942,-5.98575058982107,0.174389474490056,-9.09888111888114,-2.41755349128485,-0.595135517046586,-0.17926,0.00171914064080638,1999-07-01
2.84250075713234,2.57749580107824,-4.92124384376007,2.31524346117354,-6.61573948439622,0.257275121717612,0.945787755754474,-0.099576,1.02975794342513,1999-10-01
3.77757250355893,3.69934669557435,-3.35753086460099,3.26115570246796,-5.59293239683936,1.38654044356224,1.79303267439978,0.092456,1.04106060414778,2000-01-01
3.00167136434962,3.07785607743585,-3.57471891798394,3.05657945956182,-4.06112531969308,2.90930763609791,1.28301524222211,0.23395,1.33731801725485,2000-04-01
3.67334018639841,3.9175702125001,-2.18098180107813,2.95178605805233,-4.31242236024843,2.66717697489284,0.779754273155135,0.35942,2.31592607051402,2000-07-01
4.52791353032785,4.95909052750937,-0.402928246299723,4.27079382730929,-2.94301810865193,3.95014084507045,0.428046171853249,0.5088,3.08105944544624,2000-10-01
4.07060801360436,4.66331805247688,0.0459774687011816,6.15407140789213,-1.17558685446011,5.51481124188052,1.7907609835051,0.70754,3.47993419808277,2001-01-01
