"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"84",1.13014458054047,1.8707923311319,10.8456776840796,18.6350493762494,12.4600577641862,8.99700444815124,0.953617118269861,2.2886,8.19325221616682,2010-01-01
"85",-0.458370985878446,0.227791506936313,9.40615165102346,13.7811240938382,11.2531109257715,7.37675675675678,-0.422570899605994,1.6263,7.05069582351294,2010-04-01
"86",-1.79799834342069,-1.21560155808248,7.93639885626274,13.6631783113063,9.99120393120396,5.77264478764477,-0.791445383987391,0.7284,5.21610723405289,2010-07-01
"87",-1.62959894630384,-1.14867770182946,7.95278851499191,13.7411590147232,10.2192245817246,5.6604845047323,-0.250680149202256,0.011798,4.1779274984611,2010-10-01
"88",-2.09810185584166,-1.73509481751725,7.19982534679409,12.034753942165,9.66578697850824,4.80307572027414,0.616094806343634,-0.40741,4.19452899631947,2011-01-01
"89",-0.746912972673357,-0.456177089707495,8.4620927983475,12.1158430963396,11.1568234746157,5.93588627204798,0.854001618990646,-0.47429,3.69221014901797,2011-04-01
"90",0.110149123764103,0.359918983513296,9.35870357448076,13.4102791035085,12.3049122807018,6.68861516610116,2.46941274947439,-0.24017,4.56709607170814,2011-07-01
"91",0.1533049094906,0.367241389221903,9.43564170027597,12.9655562240923,12.6392053973013,6.62677891823319,1.87421388480156,0.2849,5.52322959246127,2011-10-01
"92",0.664044997056152,0.862759543558695,10.0610397633414,13.1460430266043,13.5398320070734,7.10654213310553,1.52688259135853,0.95235,5.52172636527924,2012-01-01
"93",1.05750965317051,1.25771222156814,10.6367572345251,10.7738790550294,14.4080979284369,7.53160956690368,2.11601166865068,1.6064,5.96958829124939,2012-04-01
"94",-0.170519080370127,-0.00623464602071522,9.36857359376481,10.4142201302652,13.4088448938898,6.14556687081614,1.16946701869305,1.9259,6.1262547362489,2012-07-01
"95",-0.828669910889914,-0.719699135603349,8.53348544975483,11.7081280906824,12.8276050420168,5.21434196819223,-0.251197676842177,2.0004,5.23175322123751,2012-10-01
