"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
2.52911191627618,3.08399791903128,4.02233839450497,0,4.30925041308842,-1.31275527016362,5.72074728264409,-2.5526,NA,1989-04-01
2.53161462507751,3.14244957732205,4.23447230008253,-1.13686837721616e-13,4.2655460450402,-1.52170827433946,3.82248504386587,-1.8464,NA,1989-07-01
2.65433037979182,3.32364681755871,4.59223764631923,5.6843418860808e-14,4.4821233626792,-1.4854471658166,4.63002390335681,-1.1731,NA,1989-10-01
2.92342579941607,3.65757745658709,5.13540723070383,1.13686837721616e-13,4.84499727907354,-1.34058272562515,6.52558724552089,-0.71257,NA,1990-01-01
2.86343564745931,3.65877586427462,5.36429905230221,2.27373675443232e-13,5.39438888889521,-1.07169793014924,8.89328899333672,0.0010549,NA,1990-04-01
2.3699432137559,3.20841648246051,5.13389131722636,0.639238322742472,5.62989197199249,-1.11849160198216,9.22593287820997,1.0352,NA,1990-07-01
1.85295941077391,2.71413683970377,4.84393053568823,0.861527332456262,5.40548848160972,-1.55484170755631,6.03119663480922,1.8404,NA,1990-10-01
1.21195882338418,2.07048888503982,4.37362444629355,-0.000666163012397192,5.12087288331401,-1.98258984673311,4.09332781928326,2.4642,NA,1991-01-01
1.13672550341886,1.98509356434306,4.46211269526862,0.366132172970026,4.65492230594458,-2.50631169879597,3.28902213955038,2.8697,NA,1991-04-01
0.746646346944488,1.56781180306984,4.19445136825766,0.395221522086445,4.74808245761324,-2.47762898352295,3.81007634414469,3.0752,NA,1991-07-01
0.295165186574536,1.07062090466042,3.81215642067804,1.1523576060834,4.48466370243847,-2.76177507727488,4.76434033361057,3.5717,NA,1991-10-01
0.319271915616923,1.04698819692766,3.90130568564263,0.462384689474277,4.10596168907716,-3.10778768810241,3.21170379814575,3.8863,NA,1992-01-01
-0.7522381076231,-0.109272199777251,2.76221406314431,0.722646534626392,4.19914443558366,-2.99761741650053,3.75467425500542,3.9808,NA,1992-04-01
-0.802702264602374,-0.246975750083038,2.62157805589317,1.42183155618329,3.06174471365091,-3.97395144643349,2.30813376606065,4.0126,NA,1992-07-01
-1.44615641608664,-0.998251979551696,1.79233430731949,0.667088211581643,2.92271802145774,-3.95064067930252,0.613797375068795,3.9973,NA,1992-10-01
-2.20826821310351,-1.89150988365441,0.726136946879478,0.583857908470918,2.09336436049597,-4.53235399148861,1.7610464494257,3.7885,NA,1993-01-01
-1.81961204900512,-1.61788553086831,0.83381566575207,0.0841200845657113,1.02466350271732,-5.24977300302032,-0.768421102725617,3.6357,NA,1993-04-01
-2.3046941545345,-2.22917850529529,-0.0176300059105756,1.07077467093222,1.13023905390713,-4.83786921351259,0.344720682359951,3.4926,NA,1993-07-01
-2.03304866764176,-2.06895573982536,-0.100195288173154,-0.723775648861022,0.27464007367314,-5.31776082024902,1.4769662288095,3.5054,NA,1993-10-01
-2.65409334359788,-2.81513647679117,-1.18065304008735,-1.41025559829626,0.187759148738905,-5.05267714655929,0.274154454874735,3.3781,-1.71008407911878,1994-01-01
-2.76026029522421,-3.04267227181475,-1.78644880041605,-1.57605517582965,-0.899941444461831,-5.70079043306004,0.182040269169922,2.9468,-2.57064544383146,1994-04-01
-3.22605505528514,-3.63729593376877,-2.84282902926788,-0.999692616263246,-1.51481198972175,-5.84807359716245,-1.78110417905624,2.5739,-3.3995865187904,1994-07-01
-3.80742655091603,-4.3583678037333,-4.12712408440063,-1.05824026839696,-2.58359323911048,-6.37690170034546,-1.77914080649717,2.2702,-4.35210252557063,1994-10-01
-3.79879682063017,-4.48037367074375,-4.8535731626153,-2.35425380943371,-3.88461864350933,-7.04929407206566,-4.28192221094948,1.8968,-3.94652678852631,1995-01-01
-3.0906755201861,-3.87006462320392,-4.80660209405687,-3.32864742900955,-4.63074640051269,-7.14246666330439,-4.37349429447846,1.8148,-3.80121011578084,1995-04-01
-3.40896465507052,-4.28679422073742,-5.85373319462695,-2.8475722283946,-4.60408946894523,-6.51668016049967,-1.10130315073113,1.821,-3.7160367790238,1995-07-01
-2.91358801823463,-3.86391184802721,-6.03476684405035,-2.14953249602809,-5.67595191476363,-6.93243622846262,-1.24571327261229,1.7048,-3.50295233788442,1995-10-01
-2.50876875209195,-3.50873975737494,-6.25923747050047,-0.222287176661723,-5.88342318315648,-6.51374582031048,-3.04776261737301,1.5792,-2.79004436530629,1996-01-01
-2.07279200342509,-3.09905935460108,-6.39389337498255,1.05244885112819,-6.13629895022018,-6.16342783436392,-0.649815836022264,1.543,-2.71432917212448,1996-04-01
-1.73420583317557,-2.76743811674811,-6.57573479636517,0.667623543618845,-6.30109947533441,-5.75392137713084,-0.702697531111192,1.4118,-2.56055227165218,1996-07-01
-1.36852562493999,-2.38954287879972,-6.6710569940791,0.44110522567388,-6.51510763956293,-5.41553661451633,-0.621252818115817,1.3726,-2.54416519423132,1996-10-01
-1.21435438071813,-2.21214200127429,-6.94698928025349,0.421102919877228,-6.64436884936458,-5.01983061077971,-0.676500645312123,1.2993,-1.75192372084445,1997-01-01
0.277634344880994,-0.642904375022908,-5.63835463061247,0.42242343593739,-6.95688978905753,-4.81664751203238,-0.881809088427599,1.3248,-0.722849598598176,1997-04-01
0.511831352690763,-0.320072539025659,-5.5227418905493,2.61822079364998,-5.68039541316398,-3.16758957283815,1.78643750385733,1.2931,-0.228325305125947,1997-07-01
0.686663290913657,-0.0491138249451524,-5.40989653348845,2.83222362721995,-5.59758467754472,-2.74395373943975,4.12062126195019,1.3869,-0.664611954884884,1997-10-01
