"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.54583242660368,-3.75117886008118,5.70504877720614,1.84775525870047,1.9321885577422,-3.32428571428571,-0.0255844155843761,1.84775525870047,3.6662,NA,1994-01-01
"21",-4.26139371233799,-4.66268009615641,4.14016590068863,-0.391124202524153,0.990407217069903,-4.19956709956708,-0.418181818181864,-0.391124202524153,4.0147,-1.24465238542357,1994-04-01
"22",-5.13791210634079,-5.75112905845029,2.18190913076543,3.98379450118008,-0.180497980300362,-5.32450592885377,-0.906521739130397,3.98379450118008,4.0922,-1.25068895564744,1994-07-01
"23",-5.16418138376565,-5.97653846643786,0.989149883264503,-1155.52195774003,-0.555076645464365,-5.66086956521738,-0.640869565217372,-1155.52195774003,3.8679,-0.820441201360052,1994-10-01
"24",-4.19035957709545,-5.15501335830749,0.899945014747829,-3.50921279678953,0.0418140905109591,-4.99799999999999,0.403923076923064,-3.50921279678953,4.1271,-302.980906856155,1995-01-01
"25",-4.67723151722416,-5.79504567898206,-0.792738485359251,-0.34281849755623,-0.866109445188247,-5.86338461538458,0.0241367521367124,-0.34281849755623,4.0264,-2.17542504775658,1995-04-01
"26",-4.00257601274052,-5.23639152712641,-1.25724345987831,-1.02393528111673,-0.618878353144727,-5.56068376068376,0.689010989010995,-1.02393528111673,3.6996,-2.00018872178582,1995-07-01
"27",-3.45370204217076,-4.77068573526722,-1.7889260880637,-2.09855287362653,-0.500680275040335,-5.37169312169311,1.1576354679803,-2.09855287362653,3.3571,-1.84947495008786,1995-10-01
"28",-2.85776350712237,-4.22428900677306,-2.19423708280945,0.520108997700132,-0.323244093233517,-5.10862068965517,1.61921182266011,0.520108997700132,2.9287,-1.97889782338022,1996-01-01
"29",-2.39740921280327,-3.78550048208342,-2.66852503933637,0.431572254516111,-0.261509331535663,-4.95517241379309,1.92080088987765,0.431572254516111,2.4486,-1.16543991010593,1996-04-01
