"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.23271192776068,-3.33550637674648,4.59763981961413,1.28221165333173,0.677868383269799,-3.19285714285715,-1.08928571428569,1.28221165333173,0.5103,NA,1994-01-01
"21",-4.09584792621482,-4.36618221237254,2.8887838900294,-0.374114512557722,-0.35151686146439,-4.19134199134197,-1.45098814229249,-0.374114512557722,0.61994,-1.39944597673815,1994-04-01
"22",-4.69432254249747,-5.14501205469614,1.2704906058768,-0.689879629201499,-1.18427655788262,-5.00355731225298,-1.56333992094858,-0.689879629201499,0.61956,-2.52253850631686,1994-07-01
"23",-3.309061282714,-3.88584239393791,1.8181158603094,-0.731197735062856,-0.0581488864938186,-3.82391304347823,-0.0317391304348007,-0.731197735062856,0.54557,-2.10814832445782,1994-10-01
"24",-3.64659884169339,-4.35065346702382,0.537884287349357,-0.680068173636643,-0.701537790786841,-4.41866666666667,-0.214307692307727,-0.680068173636643,0.63966,-1.45307162398504,1995-01-01
"25",-2.87559652734896,-3.67124331796848,0.461292853647649,0.179587899513769,-0.240298575525383,-3.89107692307692,0.566700854700855,0.179587899513769,0.80136,-1.7721782120601,1995-04-01
"26",-2.99438937147116,-3.87511583527711,-0.556549705729225,-0.607190047502799,-0.685281085884402,-4.28376068376068,0.461355311355305,-0.607190047502799,0.87499,-1.24495356011131,1995-07-01
"27",-3.82186806233659,-4.80514372454783,-2.46227848301444,-0.496424650751944,-1.86341050581674,-5.46984126984125,-0.272523262178424,-0.496424650751944,0.73298,-1.55237787323891,1995-10-01
"28",-3.75840588119942,-4.83280925430495,-3.50341051123581,-1.93890197745754,-2.1620312652381,-5.79014778325126,-0.147536945812789,-1.93890197745754,0.70483,-2.30325785940511,1996-01-01
"29",-3.14399387626622,-4.27990684926834,-3.91502265044278,-2.16518767821804,-1.91274252870865,-5.53379310344826,0.45530589543938,-2.16518767821804,0.89006,-2.71100026496031,1996-04-01
